Hop,IP Address,Country,City,ISP,Distance (km),Cumulative Distance (km)
1,172.28.16.1,Unknown,Unknown,Unknown,N/A,N/A
2,10.147.23.246,Unknown,Unknown,Unknown,N/A,N/A
3,10.30.116.225,Unknown,Unknown,Unknown,N/A,N/A
4,10.1.1.74,Unknown,Unknown,Unknown,N/A,N/A
5,10.1.1.138,Unknown,Unknown,Unknown,N/A,N/A
6,43.252.14.1,Sri Lanka,Dehiwala-Mount Lavinia,Hutchison Telecommunications Lanka Private Limited,10.07,10.07
7,103.87.125.33,Sri Lanka,Colombo,Sri Lanka Telecom Ltd,10.18,20.25
8,103.87.124.93,Sri Lanka,Colombo,Sri Lanka Telecom Ltd,0.00,20.25
9,103.87.124.70,Singapore,Singapore,Sri Lanka Telecom Ltd,2736.41,2756.66
10,116.51.31.165,Singapore,Singapore,NTT GIN,0.00,2756.66
11,4.68.62.129,Singapore,Singapore,"Level 3 Parent, LLC",0.00,2756.66
12,4.69.206.65,United States,Seattle,"Level 3 Parent, LLC",12990.86,15747.53
13,4.68.110.174,United States,Seattle,"Level 3 Parent, LLC",0.00,15747.53
14,67.14.28.70,United States,Ashburn,"CenturyLink Communications, LLC",3703.89,19451.42
15,205.171.251.62,United States,Ashburn,"CenturyLink Communications, LLC",0.00,19451.42
16,65.126.14.94,United States,Sterling,"Qwest Communications Company, LLC",6.87,19458.29
17,65.116.153.241,United States,Washington,"Qwest Communications Company, LLC",36.77,19495.06
18,65.126.14.89,United States,Sterling,"Qwest Communications Company, LLC",36.77,19531.83
19,63.146.9.178,United States,Washington,"CenturyLink Communications, LLC",36.77,19568.60
